Titolo,Descrizione,Prezzo,Prezzo Scontato,Descrizione Breve,Categoria,Autore,Casa Editrice,Editore,Numero Pagine,Peso (kg),Dimensioni (cm),SKU
Nebbie su Eldoria,Un romanzo fantasy ambientato in un regno sospeso tra magia e intrighi politici.,19.90,15.90,Fantasy epico con magia e battaglie.,Fantasy,Luca Ferretti,Aurora Edizioni,Marco Bianchi,412,0.48,15x22x3,SKU-BOOK-001
Il Codice di Vetro,Thriller tecnologico su un algoritmo capace di prevedere il futuro.,18.50,14.99,Thriller high-tech pieno di colpi di scena.,Thriller,Giulia Rinaldi,Nova Libri,Sara Conti,368,0.42,14x21x2.8,SKU-BOOK-002
Cuori di Cenere,Dramma romantico ambientato nella Torino del dopoguerra.,16.90,12.90,Romanzo romantico intenso e malinconico.,Romanzo Rosa,Chiara Valentini,Luna Press,Andrea Greco,295,0.37,14x21x2.2,SKU-BOOK-003
L'Ultima Frontiera,Avventura spaziale con esploratori dispersi ai confini della galassia.,22.00,17.50,Fantascienza ricca di azione e mistero.,Fantascienza,Davide Morelli,Cosmo House,Elena Serra,510,0.61,16x24x3.5,SKU-BOOK-004
La Formula Perduta,Un matematico scopre un'equazione che potrebbe cambiare il mondo.,17.40,13.99,Mistero scientifico avvincente.,Giallo,Luca Ferretti,Aurora Edizioni,Riccardo Neri,330,0.39,14x21x2.5,SKU-BOOK-005
Ricette dal Mare,Raccolta di piatti tradizionali ispirati alla cucina mediterranea.,24.90,19.90,Libro culinario con ricette di pesce.,Cucina,Martina De Luca,Sapori Editore,Claudia Riva,280,0.73,19x26x2,SKU-BOOK-006
Le Ombre di Kyoto,Viaggio spirituale tra templi antichi e segreti di famiglia.,20.00,15.50,Narrativa orientale intensa e suggestiva.,Narrativa Orientale,Giulia Rinaldi,Nova Libri,Paolo Vitale,390,0.44,15x22x2.7,SKU-BOOK-007
Il Re dei Circuiti,Biografia immaginaria di un genio dell'elettronica.,21.50,16.99,Storia di innovazione e ambizione.,Biografia,Enrico Sala,Future Ink,Marta Galli,340,0.41,15x23x2.4,SKU-BOOK-008
Atlante dei Mondi Perduti,Enciclopedia illustrata di civiltà dimenticate.,29.90,24.90,Volume illustrato ricco di dettagli.,Enciclopedia,Alessio Fontana,Atlas Works,Federica Bruno,620,1.10,21x29x4,SKU-BOOK-009
L'Arte del Silenzio,Saggio sulla meditazione e la crescita personale.,15.00,11.90,Guida pratica alla consapevolezza.,Crescita Personale,Chiara Valentini,Luna Press,Stefano Villa,210,0.29,13x20x1.8,SKU-BOOK-010
