Titolo,Descrizione,Descrizione Breve,Categoria,Autore,Casa Editrice,Editore,Numero Pagine,Peso (kg),Dimensioni,SKU
Nebbia su Asterion,Un investigatore interstellare scopre una cospirazione tra colonie minerarie ai confini della galassia.,Thriller sci-fi ambientato nello spazio.,Fantascienza,Giulia Ventresca,Aurora Edizioni,Editor A1,670,0.58,15x25x1.5 cm,BOOK-CIRVTUK9
Il Giardino delle Ore Perdute,Una botanica trova un giardino capace di alterare il tempo e deve proteggerlo da una corporazione segreta.,Romanzo fantasy sul tempo e la memoria.,Fantasy,Riccardo Bellini,Edizioni Zenith,Editor B2,598,0.5,13x24x4.6 cm,BOOK-1819BT5V
Algoritmo Rosso,Un hacker etico entra in conflitto con un’intelligenza artificiale governativa fuori controllo.,Cyber thriller ad alta tensione.,Cyberpunk,Giulia Ventresca,Luna Nera Press,Editor C3,198,1.45,14x21x3.6 cm,BOOK-P3RVKE3D
La Voce del Vulcano,Un geologo indaga strani fenomeni su un’isola vulcanica abitata da un culto misterioso.,Mistero tra lava e superstizione.,Thriller,Andrea Valenti,Luna Nera Press,Editor D4,359,0.39,11x26x2.5 cm,BOOK-2679ST10
Sotto il Mare di Titanio,Una spedizione oceanica scopre una civiltà sommersa dimenticata.,Avventura sottomarina ricca di segreti.,Avventura,Andrea Valenti,Atlas Libri,Editor E5,277,0.32,18x22x4.1 cm,BOOK-075F9V58
L’Ultimo Pittore di Vetro,"Nella Venezia del futuro, un artista combatte contro la standardizzazione culturale.",Dramma artistico futuristico.,Drammatico,Giulia Ventresca,Luna Nera Press,Editor F6,182,0.74,14x20x3.8 cm,BOOK-SRBRU8SL
Cronache di Ferro e Cenere,Due regni rivali si affrontano mentre antichi draghi si risvegliano.,Epic fantasy di guerra e magia.,Epic Fantasy,Marta De Luca,Orizzonte Narrativo,Editor G7,742,0.29,15x20x4.6 cm,BOOK-J7W63J4L
Il Codice di Elysia,Una linguista decifra un codice alieno che potrebbe salvare la Terra.,Sci-fi con misteri extraterrestri.,Space Opera,Riccardo Bellini,Edizioni Zenith,Editor H8,337,0.46,16x22x2.7 cm,BOOK-TG20NK0T
I Custodi del Faro Nero,Un gruppo di guardiani protegge un faro che imprigiona entità oscure.,Horror gotico marittimo.,Horror,Sara Montanari,Orizzonte Narrativo,Editor I9,685,0.43,12x27x4.9 cm,BOOK-CHMTSBU3
Memorie di una Città Sommersa,Un archeologo ricostruisce la storia di una metropoli scomparsa sotto il ghiaccio.,Romanzo archeologico post-apocalittico.,Post-Apocalittico,Leonardo Ferretti,Edizioni Zenith,Editor J10,771,1.2,12x21x1.8 cm,BOOK-N6DXQY11
Il Violinista delle Ombre,Un musicista riceve spartiti capaci di evocare presenze ultraterrene.,Suspense musicale e paranormale.,Paranormale,Riccardo Bellini,Aurora Edizioni,Editor K11,683,1.35,14x22x3.9 cm,BOOK-EQCV6QDC
Le Stelle di Cartone,Una giovane astronauta lotta per mantenere viva una colonia lunare decadente.,Romanzo umano nello spazio.,Dramma Sci-Fi,Andrea Valenti,Atlas Libri,Editor L12,201,1.41,11x24x2.3 cm,BOOK-7FK60JAG
La Biblioteca di Cenere,"Ogni libro custodisce i ricordi di chi lo ha scritto, ma qualcuno li sta cancellando.",Fantasy letterario misterioso.,Fantasy Letterario,Andrea Valenti,Luna Nera Press,Editor M13,778,0.6,12x25x2.4 cm,BOOK-ECWZ3I08
